β = 10,β = 20,β = 30,β = 40,β = 50,β = 60,β = 70,β = 80,β = 90
0,0,0,0,0,0,0,0,0
0.207376,0.414823,0.622486,0.830166,1.037927,1.24576,1.453658,1.661614,1.86962
0.516352,1.035086,1.556231,2.079812,2.605854,3.134377,3.665402,4.198945,4.735021
0.853185,1.715482,2.587229,3.468757,4.360391,5.262448,6.175236,7.099055,8.034194
1.292092,2.603003,3.933284,5.283479,6.654114,8.045699,9.458722,10.893646,12.350903
1.802206,3.634605,5.497895,7.392725,9.319682,11.27928,13.271941,15.297979,17.357576
2.300388,4.645099,7.028859,9.454029,11.920875,14.429482,16.979708,19.571149,22.203089
2.72514,5.496846,8.315043,11.179383,14.089225,17.043595,20.061053,23.08016,26.158418
3.027964,6.102627,9.22332,12.388996,15.598221,18.849175,22.139643,25.467011,28.828251
3.204889,6.45047,9.735982,13.060304,16.421978,19.939584,23.467106,27.066455,30.741925
3.270229,6.572305,9.906447,13.272605,16.749694,20.255365,23.516606,26.98772,30.484812
3.245736,6.515807,9.812596,13.135257,16.490787,19.880827,23.308531,26.776805,30.287942
3.170639,6.361105,9.5774,12.825134,16.111128,19.442302,22.825508,26.267076,29.772247
3.096567,6.212043,9.354255,12.531606,15.752912,19.027141,22.363029,25.768579,29.250433
3.065361,6.150432,9.263938,12.41485,15.612238,18.865028,22.18166,25.569623,29.034885
3.097614,6.216588,9.365277,12.551859,15.784232,19.069838,22.415408,25.826589,29.307473
3.195758,6.41425,9.662693,12.947739,16.275436,19.651128,23.079294,26.563283,30.104942
3.351539,6.726556,10.131084,13.57031,17.04856,20.569245,24.134739,27.746181,31.403161
3.550973,7.126379,10.731721,14.371651,18.04969,21.768149,25.527967,29.328452,33.16692
3.774051,7.578227,11.41351,15.287344,19.203969,23.166,27.174055,31.226294,35.317822
4.005581,8.041032,12.115484,16.236968,20.412013,24.645034,28.937621,33.287701,37.688525
4.221264,8.477645,12.780406,17.141862,21.57131,26.075805,30.658728,35.318489,40.047027
4.410247,8.86102,13.367437,17.943677,22.602153,27.352342,32.199382,37.1424,42.172628
4.565644,9.177658,13.852858,18.607077,23.454331,28.405551,33.46704,38.638642,43.911718
4.684476,9.420322,14.224658,19.113543,24.101296,29.199283,34.414441,39.747516,45.191164
4.766765,9.58818,14.480614,19.45934,24.538153,29.728312,35.037237,40.466954,46.012474
4.81577,9.687389,14.630076,19.658066,24.7845,30.020514,35.374093,40.848672,46.44178
4.837975,9.731214,14.694091,19.740262,24.882632,30.132506,35.498429,40.984775,46.590514
4.84221,9.738101,14.701828,19.747354,24.888006,30.135566,35.498918,40.982415,46.584616
4.83868,9.728847,14.685565,19.72383,24.85792,30.100234,35.459586,40.939211,46.535364
4.83723,9.723788,14.676261,19.71111,24.843748,30.087057,35.449267,40.931534,46.526311
4.846173,9.739921,14.6995,19.742785,24.886088,30.142366,35.518737,41.013593,46.614633
4.870789,9.78813,14.771663,19.840219,25.010437,30.294774,35.698743,41.217609,46.833913
4.912567,9.871592,14.897579,20.009661,25.224103,30.552247,35.99761,41.552214,47.193518
4.969493,9.986258,15.07114,20.242974,25.517072,30.903206,36.402671,42.004367,47.681086
5.03723,10.123228,15.278814,20.522238,25.867623,31.323062,36.887737,42.547808,48.272104
5.108915,10.271871,15.504294,20.826163,26.250161,31.783249,37.423038,43.153705,48.941139
5.185248,10.425254,15.733577,21.135687,26.641871,32.258447,37.982427,43.797171,49.66704
5.257451,10.571858,15.955861,21.437276,27.0264,32.730123,38.546084,44.458279,50.43131
5.328646,10.706357,16.165939,21.723785,27.394714,33.187154,39.100552,45.121018,51.215283
5.387148,10.834622,16.362488,21.993366,27.743917,33.624748,39.637969,45.772986,52.001858
5.442733,10.953907,16.546372,22.247104,28.074694,34.042122,40.154516,46.405187,52.769348
5.496899,11.064688,16.71852,22.486237,28.388123,34.439289,40.647674,47.010407,53.507606
5.548918,11.161449,16.878333,22.70997,28.682969,34.814005,41.113129,47.58053,54.200626
5.596309,11.259708,17.023097,22.91458,28.954453,35.160212,41.543001,48.104843,54.833345
5.628932,11.341494,17.148455,23.093978,29.194819,35.468564,41.926353,48.570667,55.391049
5.657279,11.402318,17.249574,23.241269,29.395206,35.728521,42.251437,48.965693,55.861678
5.676766,11.44057,17.322513,23.350637,29.54798,35.930987,42.508428,49.280499,56.237633
5.692721,11.464496,17.365349,23.418975,29.648814,36.070697,42.691835,49.510518,56.516628
5.691959,11.469693,17.378803,23.446885,29.6981,36.147975,42.802394,49.657693,56.702624
5.683867,11.458402,17.366298,23.438911,29.701455,36.169584,42.84826,49.731953,56.807523
5.670014,11.434211,17.333568,23.403061,29.669286,36.14847,42.845095,49.751823,56.852604
5.653649,11.401687,17.287994,23.349848,29.615561,36.102368,42.816785,49.743285,56.868036
5.635648,11.36598,17.237854,23.291092,29.55674,36.051548,42.782113,49.736692,56.889689
5.618499,11.332236,17.191538,23.238648,29.506642,36.016131,42.77239,49.762332,56.953821
5.604596,11.305784,17.156671,23.203086,29.480972,36.013381,42.80661,49.845653,57.091015
5.595796,11.290077,17.139167,23.192357,29.489065,36.055311,42.898907,50.003179,57.32089
5.593196,11.287452,17.142273,23.210589,29.53566,36.146968,43.054374,50.239981,57.648851
5.596792,11.297886,17.165828,23.257228,29.61939,36.28564,43.268416,50.549138,58.065533
5.605369,11.318895,17.205972,23.32678,29.732701,36.461135,43.527514,50.913099,58.548804
5.616606,11.345737,17.255453,23.409314,29.862667,36.657048,43.811138,51.306439,59.067574
5.627438,11.372151,17.304365,23.491754,29.992637,36.85285,44.094418,51.699322,59.586351
5.635182,11.391039,17.342891,23.55983,30.104559,37.02658,44.351236,52.061144,60.069712
5.634867,11.39645,17.360696,23.600407,30.181713,37.157872,44.557503,52.364066,60.486195
5.626605,11.384026,17.351141,23.603788,30.211428,37.230962,44.694328,52.58624,60.811479
5.609095,11.352245,17.325471,23.565531,30.187299,37.23722,44.750735,52.714518,61.03087
5.583265,11.302719,17.243459,23.487402,30.110468,37.176736,44.72548,52.746347,61.140992
5.551451,11.240002,17.153682,23.37725,29.989667,37.0586,44.627575,52.690452,61.150439
5.517049,11.170893,17.052074,23.247856,29.840009,36.899755,44.475308,52.56603,61.079088
5.484004,11.10341,16.950649,23.114587,29.680782,36.722632,44.293826,52.400394,60.955856
5.456253,11.045644,16.861728,22.995279,29.5327,36.552002,44.111688,52.225343,60.815013
5.437218,11.004697,16.796307,22.903729,29.415132,36.41164,43.956997,52.072834,60.69153
5.429409,10.985864,16.76278,22.852216,29.343753,36.321353,43.853767,51.97072,60.616252
5.434179,10.992116,16.766111,22.848146,29.328883,36.294769,43.819083,51.939245,60.611781
5.451645,11.023919,16.807502,22.89393,29.374627,36.338076,43.861369,51.988826,60.689772
5.480755,11.079352,16.884516,22.98705,29.478808,36.449764,43.979913,52.119361,60.850062
5.519486,11.154489,16.991602,23.12067,29.633629,36.621326,44.165612,52.321065,61.081668
5.565146,11.243976,17.120923,23.284701,29.826962,36.838776,44.402773,52.576621,61.365375
5.614731,11.341755,17.263429,23.467205,30.044102,37.084791,44.671699,52.864251,61.677361
5.663475,11.437061,17.410026,23.655984,30.269789,37.341203,44.95165,53.161172,61.993167
5.718072,11.539039,17.55272,23.84015,30.490235,37.591471,45.223754,53.44688,62.291303
5.760179,11.629588,17.685569,24.011458,30.694844,37.822784,45.473417,53.705756,62.555943
5.801769,11.711488,17.805302,24.165198,30.877393,38.027487,45.691913,53.928692,62.778445
5.839161,11.784618,17.911505,24.30051,31.036469,38.203628,45.87697,54.113603,62.957658
5.878397,11.850529,18.006364,24.42008,31.175152,38.354615,46.032375,54.264922,63.099215
5.906696,11.912043,18.094009,24.529309,31.30002,38.488094,46.166745,54.392268,63.214044
5.934324,11.972395,18.179603,24.63512,31.41971,38.61431,46.291758,54.508576,63.316409
5.963587,12.035084,18.268349,24.744633,31.543294,38.744248,46.420119,54.62799,63.421726
6.004519,12.102778,18.364577,24.863936,31.678756,38.887844,46.563596,54.763781,63.544415
6.04286,12.177144,18.471074,24.997149,31.831784,39.052536,46.731354,54.926541,63.695999
6.084513,12.258588,18.588723,25.145894,32.005042,39.242305,46.92879,55.122849,63.883675
