α = 10,α = 20,α = 30,α = 40,α = 50,α = 60,α = 70,α = 80,α = 90
5.988003,12.016252,18.073525,24.196637,30.410723,36.746384,43.247642,49.974155,56.98504
6.035911,12.130505,18.254647,24.45028,30.739602,37.147493,43.70991,50.479005,57.511582
6.087366,12.210544,18.436292,24.705884,31.072708,37.555767,44.182456,50.996629,58.051843
6.142042,12.323411,18.572877,24.912797,31.405716,37.965108,44.657617,51.518165,58.596087
6.214514,12.470271,18.794903,25.210767,31.732438,38.367776,45.126749,52.034956,59.136469
6.266221,12.578402,18.9655,25.450281,32.045911,38.755788,45.581871,52.540312,59.668788
6.309793,12.678256,19.124987,25.673971,32.339718,39.122431,46.017159,53.030747,60.193251
6.360329,12.772577,19.269756,25.873323,32.609227,39.46349,46.429878,53.506326,60.71398
6.405217,12.85407,19.397421,26.058469,32.852461,39.777899,46.820556,53.970061,61.237429
6.434321,12.923577,19.507312,26.216891,33.074085,40.067667,47.192376,54.426601,61.770225
6.462376,12.981385,19.600597,26.355106,33.266474,40.337166,47.550046,54.880611,62.317019
6.48491,13.028923,19.68,26.477231,33.446,40.591979,47.898429,55.33527,62.878874
6.502884,13.068452,19.749229,26.588292,33.614753,40.837636,48.241326,55.79125,63.452537
6.523706,13.102628,19.812263,26.693268,33.778018,41.078547,48.580668,56.246396,64.030739
6.530294,13.13405,19.872693,26.796282,33.93973,41.317346,48.916281,56.696146,64.603413
6.53502,13.167052,19.937216,26.900098,34.102057,41.554737,49.246212,57.134534,65.159512
6.554544,13.196739,19.99555,27.005964,34.265418,41.789105,49.567437,57.55547,65.688961
6.567778,13.230421,20.060173,27.113781,34.428837,42.020526,49.87516,57.953953,66.184271
6.58234,13.266176,20.126795,27.222456,34.59047,42.24458,50.171415,58.327853,66.641506
6.598305,13.30373,20.194495,27.330344,34.748168,42.459803,50.449936,58.673678,67.060498
6.615501,13.342461,20.262041,27.435653,34.899931,42.664657,50.712009,58.995692,67.444411
6.633577,13.381555,20.32814,27.536759,35.044215,42.858395,50.958557,59.296226,67.798877
6.652056,13.420133,20.391618,27.632401,35.180072,43.041033,51.191395,59.579591,68.130911
6.670409,13.452238,20.451543,27.721771,35.307141,43.213172,51.412778,59.850376,68.447802
6.683839,13.496208,20.509398,27.802323,35.425555,43.375739,51.624931,60.112712,68.75611
6.704979,13.525193,20.558614,27.880747,35.538429,43.529704,51.829605,60.369656,69.060862
6.72341,13.555097,20.605562,27.95084,35.638487,43.680323,52.027759,60.622774,69.36499
6.738909,13.582328,20.648526,28.015451,35.734318,43.814507,52.219374,60.871948,69.669068
6.751669,13.607235,20.688128,28.07534,35.823838,43.945647,52.403456,61.11545,69.971358
6.76221,13.635739,20.725139,28.131266,35.907413,44.068719,52.578201,61.350251,70.2682
6.771273,13.657062,20.760366,28.183889,35.985181,44.182856,52.741317,61.572566,70.55468
6.779709,13.677008,20.794129,28.233709,36.057092,44.287063,52.890473,61.778544,70.825535
6.78838,13.696879,20.828054,28.281062,36.123006,44.380473,53.023767,61.964989,71.076106
6.798073,13.717839,20.861937,28.329661,36.182838,44.462623,53.140161,62.12998,71.303179
6.809439,13.744493,20.89654,28.36405,36.23673,44.533671,53.239768,62.273256,71.505521
6.822942,13.771011,20.931649,28.4107,36.28063,44.594532,53.323942,62.39629,71.684033
6.838828,13.799585,20.967897,28.451004,36.329222,44.646879,53.394042,62.504697,71.841491
6.857129,13.830397,21.005715,28.491018,36.370239,44.693015,53.456679,62.594544,71.981994
6.877675,13.863587,21.045618,28.531818,36.410055,44.735644,53.512191,62.678191,72.11027
6.90014,13.899251,21.088176,28.57464,36.450668,44.777578,53.565311,62.757279,72.230998
6.924102,13.937429,21.133934,28.620725,36.494043,44.821433,53.619229,62.835479,72.34827
6.949099,13.97807,21.183319,28.671158,36.541892,44.869383,53.676435,62.915567,72.465267
6.974689,14.021007,21.23655,28.726712,36.59549,44.922987,53.738592,62.999323,72.584136
7.000486,14.065942,21.293573,28.787743,36.65556,44.983126,53.806548,63.087595,72.706026
7.026178,14.106921,21.354044,28.854152,36.722255,45.050034,53.880445,63.180458,72.831221
7.051524,14.155913,21.417351,28.925414,36.795206,45.123414,53.959907,63.277433,72.959307
