α = 10,α = 20,α = 30,α = 40,α = 50,α = 60,α = 70,α = 80,α = 90
0,0,0,0,0,0,0,0,0
0.394873,0.789609,1.184159,1.578478,1.972519,2.366235,2.759579,3.152505,3.544969
0.861979,1.724807,2.588177,3.451779,4.315299,5.17842,6.040829,6.902212,7.762259
0.518218,1.047436,1.587896,2.139841,2.703512,3.279146,3.866979,9.686016,10.921753
1.037364,2.096912,3.178989,4.283928,5.412053,6.563672,7.739071,8.938516,10.162246
1.658356,3.333262,5.025857,6.737303,8.468785,10.523675,12.398531,14.307346,16.24959
2.316679,4.656811,7.021159,9.410464,11.825441,14.266766,16.73507,19.753847,22.385726
2.908104,5.84295,8.803725,10.222004,12.848766,15.51129,18.213631,20.959982,23.754584
2.692516,5.408208,8.15125,10.926337,16.931963,20.372182,23.822959,27.281256,30.744307
2.833204,5.688097,8.567534,11.476271,14.419367,17.402683,20.433038,23.518337,26.66767
2.958055,5.914462,8.874055,11.842452,14.826254,17.833254,20.872664,23.955324,27.09388
3.0608,6.102137,9.129861,12.150798,15.172905,18.205449,21.259191,24.346557,27.481776
3.134005,6.241074,9.32712,12.399079,15.465001,18.534149,21.617106,24.725835,27.873697
3.192494,6.361058,9.510468,12.646331,15.7751,18.904088,22.041466,25.196216,28.37802
3.249616,6.485732,9.711833,12.93177,16.149671,19.369835,22.596623,26.162682,29.468462
2.867712,6.617258,9.928831,13.246092,16.571331,19.906139,23.251163,26.605865,29.968332
3.374584,6.761186,10.163211,13.583401,15.113797,20.483688,23.962486,27.456049,30.95801
3.462495,6.944834,10.451642,13.986755,17.55278,19.70562,24.778553,28.432282,32.103662
3.590482,7.20442,10.848257,14.527939,18.248434,21.48979,25.822993,29.675844,33.565071
3.783843,7.596357,11.44672,15.341612,19.285699,23.126862,27.165828,31.272701,35.44555
4.039752,7.960581,11.98921,16.066896,20.62158,24.423873,28.729644,33.134916,37.644982
4.176464,8.377753,12.618606,16.915599,21.286995,25.752301,30.331376,35.042673,39.899728
4.36449,8.755666,13.190557,17.688433,22.27091,26.961791,31.786403,36.769859,41.932989
4.516823,9.218773,13.658232,18.32192,23.077572,27.950905,32.969922,38.163457,43.557108
4.717127,9.288591,14.001476,18.787382,23.669274,28.672517,33.824843,39.155344,44.691114
4.805094,9.435667,14.224897,19.088783,24.049181,29.129534,34.354945,39.751629,45.34484
4.8585,9.736904,14.354197,19.259022,24.257568,29.370546,34.618854,40.023324,45.604264
4.771986,9.574224,14.426376,19.34806,24.3583,29.47487,34.713625,40.088211,45.611243
4.793581,9.612517,14.476583,19.405282,24.416672,29.525892,34.743648,40.07554,45.52462
4.815986,9.652468,14.52943,19.466577,24.481507,29.587385,34.790426,40.088564,45.475009
4.842248,9.701468,14.597872,19.551504,24.579922,29.695135,34.900156,40.186895,45.540282
4.873145,9.761815,14.686344,19.66706,24.721723,29.862031,35.089489,40.392531,45.750694
4.908469,9.833189,14.794508,19.81291,24.906531,30.087592,35.357938,40.705388,46.107259
4.85591,9.914725,14.920519,19.986033,25.130009,30.36601,35.697916,41.11546,46.596035
4.921192,9.861963,15.06358,20.184266,24.983592,30.691405,36.100647,41.609345,47.195588
5.042463,10.110315,15.224831,20.407753,25.680142,31.060144,36.558823,42.173471,47.881675
5.099814,10.227694,15.40598,20.657604,26.005325,31.469946,37.066258,42.794872,48.63037
5.16434,10.358608,15.606569,20.932712,26.361641,31.916516,37.614961,43.459327,49.418383
5.23414,10.49961,15.821819,21.226991,26.741439,32.389968,38.191572,44.148323,50.221167
5.313682,10.644077,16.042563,21.52894,27.130819,32.873634,38.77604,44.837928,51.012113
5.373925,10.78393,16.257342,21.8239,27.511913,33.346371,39.344057,45.501455,51.765033
5.430041,10.905931,16.449308,22.096089,27.86707,33.787182,39.872032,46.114509,52.458293
