β = 10,β = 20,β = 30,β = 40,β = 50,β = 60,β = 70,β = 80,β = 90
0,0,0,0,0,0,0,0,0
0.206888,0.413846,0.621021,0.828213,1.035485,1.24283,1.450241,1.657709,1.865227
0.507855,1.018076,1.530693,2.045735,2.563228,3.083195,3.605658,4.130636,4.658147
0.822156,1.653147,2.493304,3.342954,4.202417,5.072007,5.952032,6.842791,7.744573
1.199592,2.416795,3.652155,4.906211,6.179495,7.472525,8.785809,10.119832,11.47506
1.550915,3.136771,4.745758,6.382813,8.048662,9.743994,11.46946,13.226986,15.014457
1.814516,3.659071,5.534887,7.443196,9.385242,11.362265,13.404073,15.457081,17.546038
1.986658,4.00474,6.054743,8.137057,10.251978,12.399716,14.58042,16.794197,19.04114
2.06171,4.150361,6.266427,8.410259,10.582109,12.782161,15.010582,17.268509,19.576137
2.033589,4.088651,6.166391,8.26793,10.394337,12.553976,14.74702,16.976502,19.246092
1.934518,3.886464,5.858402,7.852913,9.872609,11.920155,14.00155,16.117298,18.272583
1.81102,3.637506,5.483599,7.354615,9.254759,11.189461,13.164273,15.185117,17.258304
1.704576,3.424682,5.166267,6.935489,8.738871,10.583269,12.475864,14.424131,16.435812
1.651686,3.320489,5.013099,6.736471,8.497864,10.30479,12.164966,14.086249,16.076561
1.672149,3.362724,5.079476,6.827918,8.615384,10.448907,12.335567,14.282415,16.296402
1.762782,3.544982,5.351663,7.191952,9.067221,10.984669,12.949876,14.968307,17.045265
1.908034,3.836817,5.789841,7.770765,9.78338,11.837071,13.926369,16.058412,18.236545
2.088023,4.200193,6.338101,8.503322,10.697394,12.921819,15.178075,17.462209,19.782185
2.27835,4.587042,6.925797,9.294108,11.691241,14.116246,16.568,19.027595,21.52164
2.451907,4.942313,7.46936,10.030821,12.624086,15.246184,17.872253,20.53186,23.207877
2.584318,5.21535,7.890192,10.605548,13.357706,16.12173,18.922695,21.743837,24.580125
2.658926,5.370477,8.131476,10.9385,13.772345,16.64863,19.554953,22.486366,25.437616
2.670244,5.394698,8.170838,10.987757,13.851802,16.756607,19.699098,22.6759,25.683135
2.62498,5.300733,8.026298,10.79401,13.611697,16.476135,19.387136,22.34422,25.346311
2.539326,5.12199,7.747524,10.419647,13.140547,15.913348,18.741218,21.62706,24.573209
2.433579,4.901311,7.407167,9.956893,12.556312,15.211651,17.929078,20.714452,23.573109
2.326686,4.679025,7.06527,9.492764,11.970209,14.506603,17.109769,19.787691,22.547667
2.232528,4.484582,6.767457,9.089605,11.461703,13.893539,16.394413,18.973067,21.637697
2.158559,4.33338,6.534639,8.778023,11.067897,13.416411,15.832927,18.326285,20.904884
2.106257,4.227903,6.375004,8.560668,10.790687,13.075586,15.424093,17.844678,20.345688
2.072365,4.160857,6.27419,8.420758,10.608748,12.844916,15.13725,17.493598,19.922211
2.048423,4.118663,6.211365,8.334431,10.493526,12.687418,14.931924,17.230196,19.590229
2.032114,4.08505,6.16246,8.267512,10.403233,12.572933,14.767767,17.014246,19.311038
2.010043,4.044762,6.105117,8.191585,10.304683,12.44553,14.606893,16.808302,19.049222
1.978818,3.986839,6.02283,8.085133,10.175418,12.283483,14.41934,16.577012,18.769131
1.936577,3.906705,5.907744,7.936732,9.990933,12.068316,14.167949,16.291788,18.439079
1.885021,3.806593,5.761601,7.74672,9.758821,11.795251,13.854038,15.939003,18.04141
1.826327,3.689756,5.594621,7.526662,9.487752,11.475314,13.486901,15.520195,17.58089
1.772985,3.58098,5.422592,7.296358,9.200661,11.133602,13.092855,15.075584,17.085584
1.723831,3.478018,5.263005,7.079104,8.926228,10.803571,12.709449,14.641185,16.600733
1.685366,3.39494,5.131223,6.896463,8.692217,10.519011,12.376156,14.261709,16.176381
1.659809,3.337463,5.037376,6.763546,8.519058,10.305765,12.124164,13.974754,15.853733
1.647105,3.306657,4.984499,6.685919,8.4152,10.175364,11.96814,13.7943,15.653111
1.645163,3.299108,4.968377,6.658921,8.375754,10.122808,11.90296,13.717471,15.568431
1.650519,3.308138,4.979289,6.66989,8.38517,10.129633,11.90711,13.720841,15.571148
1.659318,3.325878,5.005255,6.702706,8.423172,10.171335,11.951666,13.76843,15.625611
1.667682,3.345582,5.035782,6.743108,8.471781,10.22624,12.011175,13.831456,15.691964
1.676024,3.363438,5.064791,6.782822,8.520705,10.282258,12.0719,13.894573,15.755526
1.682355,3.379288,5.091746,6.821044,8.569188,10.339031,12.134285,13.959408,15.819434
1.687203,3.39613,5.120836,6.863238,8.624176,10.405411,12.20963,14.040372,15.901932
1.698723,3.418762,5.15883,6.918049,8.696288,10.494271,12.313581,14.156628,16.026647
1.714011,3.452115,5.21255,6.993931,8.79549,10.61717,12.459616,14.324187,16.21902
1.736943,3.499774,5.286754,7.096436,8.92785,10.780555,12.654635,14.555738,16.478478
1.768296,3.563011,5.382839,7.226722,9.093939,10.984134,12.900346,14.839311,16.803404
1.807391,3.640391,5.498454,7.386045,9.288792,11.221178,13.181305,15.166673,17.179541
1.852125,3.727931,5.627829,7.552519,9.502888,11.480468,13.485869,15.520749,17.586559
1.899282,3.819683,5.762633,7.729936,9.723558,11.744893,13.796959,15.881702,18.001334
1.945052,3.908651,5.893164,7.901465,9.936548,11.999637,14.096299,16.228754,18.40007
1.985689,3.987906,6.009818,8.055124,10.127716,12.231525,14.365901,16.541642,18.759823
2.018132,4.051747,6.104539,8.180776,10.284958,12.421642,14.58999,16.802521,19.060411
2.040565,4.096675,6.172264,8.271842,10.400195,12.562211,14.75744,16.998566,19.287151
2.05269,4.121993,6.211808,8.326563,10.471,12.650025,14.86418,17.124727,19.433929
2.055717,4.129865,6.226078,8.348421,10.501293,12.689313,14.91458,17.185494,19.505334
2.052072,4.124819,6.221454,8.345473,10.50069,12.691185,14.920993,17.194611,19.516569
2.044867,4.112773,6.206425,8.328636,10.482483,12.672801,14.901203,17.172332,19.490522
2.03546,4.101015,6.189789,8.309299,10.460681,12.649291,14.87436,17.140787,19.452593
2.031889,4.090897,6.178722,8.296846,10.446871,12.6342,14.856552,17.118829,19.424756
2.030274,4.089008,6.177483,8.296697,10.447734,12.635455,14.857291,17.117857,19.420645
2.032683,4.094534,6.186518,8.309352,10.465265,12.653871,14.877799,17.139721,19.442988
2.038099,4.105393,6.20267,8.330588,10.489961,12.683504,14.911383,17.177071,19.483388
2.043375,4.118348,6.220066,8.352712,10.516622,12.713495,14.945592,17.215813,19.527484
2.049393,4.126262,6.231547,8.366461,10.532536,12.730819,14.965423,17.238817,19.554357
2.050247,4.126567,6.23026,8.363076,10.527115,12.72322,14.956732,17.229855,19.545921
2.04513,4.114883,6.211082,8.3361,10.492622,12.681673,14.909066,17.176867,19.488276
2.033033,4.089412,6.171597,8.282582,10.425564,12.603751,14.817495,17.074029,19.374562
2.014066,4.050535,6.112526,8.203571,10.327235,12.48687,14.683306,16.922531,19.205819
1.989432,4.000719,6.037572,8.1039,10.203449,12.339553,14.5137,16.730208,18.990547
1.961198,3.94408,5.952785,7.991386,10.063608,12.172634,14.320684,16.510326,18.743324
1.934165,3.885673,5.865572,7.875581,9.919267,11.999549,14.119353,16.279708,18.482741
1.904266,3.830648,5.783423,7.766286,9.782392,11.834378,13.925743,16.056406,18.228877
1.88046,3.783442,5.712897,7.672037,9.66355,11.689757,13.7545,15.857141,18.000519
1.862074,3.747097,5.658476,7.598822,9.570316,11.574977,13.6167,15.69485,17.812466
1.849771,3.722885,5.622057,7.549265,9.506209,11.494646,13.518233,15.576789,17.673389
1.843295,3.710245,5.602827,7.522436,9.470376,11.448206,13.457865,15.503628,17.584715
1.841618,3.707074,5.597661,7.514326,9.458107,11.430438,13.433223,15.469804,17.540882
1.843209,3.710263,5.601925,7.518883,9.462065,11.432853,13.433107,15.465092,17.530971
1.844171,3.716384,5.610499,7.529356,9.473911,11.445645,13.446271,15.477053,17.541364
1.850322,3.719643,5.618791,7.539667,9.486154,11.459726,13.462239,15.493674,17.558769
1.851732,3.726026,5.617934,7.545471,9.493225,11.468407,13.4727,15.505995,17.572852
1.852306,3.726376,5.623335,7.544801,9.492568,11.468384,13.473915,15.50893,17.577903
1.851387,3.723662,5.618535,7.538136,9.48462,11.459932,13.465782,15.502221,17.57325
1.85065,3.719754,5.608999,7.528001,9.472364,11.446361,13.45184,15.489478,17.562557
1.846734,3.712376,5.603961,7.518224,9.4604,11.432913,13.437849,15.476936,17.552355
1.847044,3.712741,5.600353,7.513126,9.454075,11.425891,13.430978,15.471862,17.550296
1.848286,3.71486,5.603159,7.516503,9.458025,11.430663,13.437182,15.48104,17.563495
1.852134,3.722468,5.614376,7.531078,9.475717,11.451418,13.461292,15.509537,17.597237
1.858826,3.736055,5.634784,7.557978,9.508675,11.490097,13.506417,15.559883,17.654146
1.868177,3.755242,5.663843,7.59658,9.556287,11.546166,13.570432,15.631696,17.73383
1.879634,3.77887,5.699817,7.644652,9.61593,11.616721,13.650991,15.721771,17.832992
1.889901,3.805223,5.740091,7.69874,9.683419,11.69697,13.742878,15.824596,17.945959
1.904669,3.829698,5.781604,7.754712,9.75359,11.781012,13.839584,15.93322,18.06555
1.918736,3.858176,5.818772,7.808558,9.821602,11.862886,13.934438,16.040231,18.184164
1.931184,3.881337,5.856772,7.856699,9.882721,11.936917,14.021091,16.139365,18.294887
1.938746,3.900564,5.886163,7.89674,9.933899,11.999604,14.095428,16.225369,18.392417
1.946175,3.915427,5.908738,7.927549,9.973598,12.048856,14.154937,16.295546,18.473604
1.951613,3.926026,5.924642,7.949263,10.001879,12.08459,14.199297,16.349301,18.537533
1.958028,3.932914,5.934754,7.963048,10.020114,12.108285,14.22992,16.387885,18.58518
1.959909,3.93692,5.940404,7.970708,10.030503,12.122424,14.249343,16.413761,18.618763
1.960774,3.93893,5.943065,7.974294,10.03566,12.129852,14.260538,16.429874,18.641013
1.961055,3.945004,5.944004,7.975487,10.037497,12.133287,14.266286,16.438995,18.65452
1.961037,3.9447,5.94421,7.975752,10.038005,12.134395,14.268724,16.443278,18.661311
1.960839,3.944064,5.944175,7.975809,10.038133,12.134613,14.269123,16.444038,18.662666
1.960427,3.943116,5.943925,7.975732,10.038033,12.13419,14.267865,16.441765,18.659153
1.959667,3.941646,5.948423,7.97506,10.037184,12.132616,14.264594,16.436274,18.650812
1.958384,3.939322,5.941138,7.972952,10.034565,12.128775,14.258464,16.426961,18.637379
1.956421,3.935806,5.937371,7.968513,10.029101,12.121576,14.248435,16.413065,18.618516
1.953685,3.928956,5.931267,7.96095,10.019814,12.109964,14.233566,16.393927,18.594004
1.950169,3.922739,5.922502,7.949751,10.006051,12.09324,14.213254,16.369187,18.563872
1.945949,3.914905,5.91105,7.93481,9.987644,12.071231,14.187392,16.33891,18.528466
1.941172,3.90701,5.897186,7.91645,9.964954,12.044334,14.156414,16.303619,18.488457
1.936026,3.896725,5.881446,7.895373,9.938807,12.01346,14.121248,16.264244,18.44478
1.930707,3.885839,5.864536,7.872536,9.910361,11.979885,14.083166,16.221994,18.398537
1.925394,3.874733,5.850565,7.849038,9.881002,11.945046,14.043601,16.178197,18.350872
1.920226,3.863758,5.833372,7.825818,9.851786,11.910443,14.003959,16.134147,18.302868
1.9153,3.853202,5.816612,7.808449,9.823939,11.87703,13.965658,16.090988,18.255487
1.910674,3.843284,5.800762,7.786143,9.802513,11.845929,13.929171,16.049914,18.209563
1.90638,3.834162,5.786204,7.765527,9.775269,11.818537,13.895709,16.010994,18.166078
1.902443,3.825954,5.773239,7.750404,9.755544,11.793143,13.865708,15.969632,18.120788
1.898901,3.818762,5.765556,7.737489,9.738689,11.77197,13.839545,15.944112,18.088148
1.895814,3.812689,5.757827,7.727004,9.725028,11.754478,13.817386,15.917108,18.055833
1.893265,3.807846,5.751834,7.718944,9.71443,11.740725,13.799796,15.89515,18.029062
1.891348,3.804346,5.747565,7.713199,9.706827,11.730737,13.787046,15.878718,18.008652
1.890154,3.802284,5.744991,7.709707,9.702152,11.724508,13.778882,15.868142,17.99521
1.889745,3.801707,5.744089,7.708409,9.700327,11.721973,13.775467,15.863522,17.989018
1.890136,3.802593,5.744824,7.70923,9.701243,11.722845,13.77662,15.864676,17.98995
1.891285,3.804833,5.747099,7.712081,9.70473,11.727176,13.781975,15.871133,17.997458
1.89309,3.808233,5.74743,7.716743,9.710601,11.734551,13.790995,15.882157,18.010615
1.8954,3.812532,5.753485,7.720509,9.715911,11.741926,13.803011,15.896824,18.028224
1.898039,3.817432,5.760345,7.729247,9.726736,11.755331,13.817279,15.914504,18.048771
1.900825,3.822636,5.767655,7.738506,9.738013,11.768943,13.833763,15.934579,18.07325
1.9036,3.827892,5.775122,7.747987,9.749436,11.782413,13.849627,15.953453,18.096002
