α = 10,α = 20,α = 30,α = 40,α = 50,α = 60,α = 70,α = 80,α = 90
0,0,0,0,0,0,0,0,0
0.401342,0.802849,1.204466,1.606177,1.052083,1.263126,1.474425,0.050598,0.05821
0.228766,0.451707,0.679188,0.90789,1.137922,1.369235,1.602042,1.836456,2.07242
0.579084,1.164113,1.755377,2.353247,2.958085,3.57009,4.189744,4.817423,5.45332
1.104248,2.22299,3.35681,4.506364,5.672284,9.674073,8.055302,9.273711,10.510623
1.7512,3.527637,5.330086,7.159307,9.015928,10.900283,12.81284,14.753794,16.722966
2.44553,4.92611,7.442131,9.993742,12.58072,15.202295,17.857552,20.545026,23.262623
3.099331,6.239565,9.419761,12.638411,15.893307,19.181404,22.499205,25.84246,29.206172
3.626946,7.295267,11.002152,14.743902,18.515846,22.312301,26.127018,29.953058,33.782969
3.969387,7.975685,12.014779,16.08143,20.169256,24.270796,28.378019,32.482403,36.575269
4.157648,8.254488,12.420746,16.60667,20.806061,25.011646,29.215574,33.40955,37.58523
4.119502,8.197178,12.320323,16.455753,20.599265,24.745765,28.889641,33.024835,37.145137
3.971357,7.931836,11.909163,15.892873,19.881333,23.872268,27.862993,31.850368,35.830968
3.788491,7.607336,11.415138,15.226823,19.042867,22.863303,26.687827,30.515659,34.345602
3.676472,7.355484,11.03868,14.727679,18.423948,22.128645,25.842658,29.566418,33.299888
3.627234,7.263872,10.911017,14.569763,18.241073,21.925623,25.623815,29.33559,33.060392
3.670668,7.362097,11.073867,14.805469,18.556144,22.324685,26.109397,29.907896,33.717052
3.796172,7.625491,11.485582,15.373934,19.287601,23.22285,27.174978,31.138025,35.104669
3.976139,7.994898,12.051923,16.14274,20.262214,24.403954,28.559924,32.720057,36.872174
4.177836,8.401834,12.665569,16.962495,21.28511,25.62411,29.967904,34.302298,38.610671
4.372211,8.787142,13.235745,17.708696,22.195353,26.682874,31.155926,35.596793,39.986102
4.537673,9.108836,13.700736,18.299948,22.891438,27.458061,31.980923,36.440281,40.817004
4.660494,9.342296,14.027664,18.697615,23.331552,27.907713,32.404625,36.803009,41.087877
4.596079,9.477735,14.207179,18.89702,23.52075,28.052665,32.470679,36.759179,40.91132
4.758278,9.51727,14.247417,18.917088,23.494753,27.952517,32.270251,36.439009,40.462923
4.737483,9.471569,14.167928,18.790341,23.304337,27.682236,31.908207,35.981697,39.918281
4.679275,9.356061,13.993533,18.55357,23.001554,27.312453,31.476208,35.500597,39.410631
4.592339,9.187499,13.749229,18.240782,22.630363,26.897622,31.038796,35.068581,39.017986
4.485271,8.981815,13.45745,17.880263,22.224141,26.475084,30.63562,34.725487,38.778122
4.366084,8.753552,13.137908,17.495523,21.808743,26.071466,30.292465,34.494803,38.711286
4.228952,8.516565,12.809166,17.108158,21.407041,25.709158,30.029545,34.39307,38.829256
4.121963,8.285328,12.490763,16.740706,21.04219,25.409312,29.863238,34.429091,39.130636
4.013303,8.076003,12.20471,16.418298,20.738914,25.192091,29.804597,34.600201,39.594691
3.925671,7.906189,11.975402,16.168356,20.522862,25.075586,29.857921,34.890805,40.180482
3.868432,7.794874,11.827616,16.018258,20.418389,25.074338,30.020697,35.274458,40.831709
3.849759,7.757196,11.783021,15.991556,20.445415,25.197927,30.285012,35.718924,41.485968
3.875081,7.804125,11.856102,16.103564,20.615734,25.449245,30.638962,36.19171,42.085093
3.945717,7.938468,12.050509,16.357233,20.929196,25.821932,31.066424,36.663268,42.582864
4.058155,8.153696,12.356956,16.740571,21.370973,26.298021,31.545843,37.108038,42.949656
