β = 10,β = 20,β = 30,β = 40,β = 50,β = 60,β = 70,β = 80,β = 90
4.788819,9.703501,14.801451,19.976154,25.478109,31.131185,36.868226,42.639094,48.431065
4.75831,9.635228,14.685323,19.766683,25.187374,30.751071,36.401513,42.10468,47.861833
4.737667,9.58432,14.5904,19.599467,24.93908,30.411989,35.974967,41.610726,47.332645
4.726825,9.551226,14.518282,19.475605,24.736198,30.119123,35.595711,41.165088,46.850245
4.724744,9.534477,14.467802,19.391838,24.576851,29.872555,35.265646,40.770441,46.416599
4.729644,9.531087,14.435538,19.341491,24.455382,29.668454,34.982871,40.426104,46.031286
4.710074,9.537229,14.416769,19.315642,24.363601,29.500353,34.742995,40.129483,45.693169
4.751706,9.54896,14.406552,19.30441,24.292141,29.360422,34.540232,39.872664,45.401051
4.770376,9.562797,14.400589,19.298257,24.231802,29.240662,34.368273,39.664308,45.153422
4.776968,9.576049,14.395727,19.289165,24.174776,29.133987,34.220979,39.486693,44.947666
4.78729,9.586882,14.390041,19.275912,24.115613,29.035089,34.092954,39.33876,44.779239
4.795041,9.59422,14.38264,19.24277,24.051801,28.941016,33.980009,39.214757,44.641291
4.799869,9.597567,14.373343,19.203237,23.983878,28.851375,33.879486,39.10892,44.524973
4.801669,9.596841,14.452504,19.155991,23.915055,28.76813,33.790392,39.016036,44.420431
4.800527,9.642016,14.350216,19.105953,23.850432,28.695013,33.713282,38.932023,44.318241
4.796681,9.584286,14.337442,19.05893,23.795937,28.636649,33.649871,38.85435,44.210902
4.787965,9.567727,14.324751,19.020548,23.75718,28.597522,33.602415,38.782166,44.094017
4.778371,9.5608,14.312868,18.995301,23.741544,28.580969,33.572941,38.71605,43.966832
4.765066,9.546779,14.30243,18.985839,23.741666,28.588355,33.562477,38.65743,43.832006
4.754383,9.5321,14.293823,18.992592,23.766471,28.618559,33.570407,38.607784,43.694655
4.746122,9.517122,14.287007,19.013733,23.809679,28.667865,33.594113,38.567851,43.560959
4.73945,9.501873,14.281406,19.0807,23.865875,28.73023,33.628962,38.537036,43.436697
4.733149,9.483398,14.27589,19.095023,23.928002,28.797912,33.668678,38.513192,43.326093
4.719011,9.469017,14.268879,19.107107,23.984418,28.862326,33.706034,38.492838,43.231213
4.715176,9.450025,14.25853,19.175395,24.040509,28.915012,33.733755,38.471755,43.152018
4.681538,9.42825,14.311978,19.112045,24.072154,28.948582,33.745479,38.445833,43.086972
4.664449,9.403,14.220649,19.099217,24.083625,28.95733,33.740134,38.411945,43.033974
4.645984,9.373843,14.190372,19.073454,24.069621,28.938705,33.704934,38.36866,42.9913
4.626251,9.34071,14.151664,19.033868,24.029094,28.891689,33.650826,38.316584,42.958268
4.605542,9.303961,14.104774,18.980653,23.963256,28.818557,33.577131,38.258281,42.935445
4.584333,9.264388,14.050699,18.91508,23.875317,28.723559,33.488653,38.19778,42.924363
4.563257,9.223164,13.99111,18.839389,23.770053,28.612519,33.391427,38.139818,42.926864
4.545465,9.192636,13.928209,18.756588,23.65326,28.492126,33.291898,38.08898,42.9443
4.517834,9.137718,13.874707,18.670187,23.531177,28.369239,33.196157,38.048944,42.976829
4.508204,9.104635,13.802645,18.577268,23.409942,28.250266,33.109333,38.021966,43.022995
4.494873,9.071937,13.745061,18.50128,23.295131,28.140694,33.035216,38.008674,43.079718
4.484884,9.044744,13.647813,18.425549,23.191413,28.044776,32.976108,38.008175,43.142655
4.478454,8.979239,13.650783,18.359264,23.102322,27.965386,32.932862,38.018378,43.20683
4.475605,8.963978,13.616808,18.304237,23.030153,27.903996,32.905049,38.036416,43.267325
4.476172,9.002016,13.592461,18.261471,22.975954,27.860752,32.891176,38.059055,43.31986
4.479843,9.000814,13.577699,18.231199,22.939603,27.834621,32.888921,38.082994,43.361122
4.486189,9.00539,13.572019,18.212989,22.91996,27.823586,32.895336,38.105032,43.388824
4.494703,9.014955,13.574567,18.205892,22.915063,27.824875,32.907062,38.122151,43.401541
4.50484,9.028598,13.58425,18.208607,22.922378,27.83524,32.920554,38.131571,43.398474
4.516045,9.045356,13.599848,18.219645,22.942546,27.851207,32.928814,38.131696,43.379257
4.525332,9.058369,13.62012,18.237477,22.959003,27.869665,32.939358,38.11806,43.34392
4.541816,9.086349,13.637742,18.260651,22.989292,27.887643,32.93922,38.092074,43.297717
4.55673,9.11303,13.672471,18.288384,23.018018,27.903105,32.930558,38.052823,43.227801
4.569622,9.125939,13.705969,18.320615,23.046844,27.914864,32.913189,38.001513,43.149147
4.580301,9.146153,13.737336,18.358775,23.074864,27.922693,32.888172,37.940692,43.065422
