α = 10,α = 20,α = 30,α = 40,α = 50,α = 60,α = 70,α = 80,α = 90
2.02269,4.050029,6.06407,8.074988,10.08476,12.100663,14.131384,16.186606,18.275253
2.035395,4.050217,6.068208,8.08286,10.096836,12.114991,14.144655,16.195182,18.276647
2.044353,4.079656,6.060758,8.076269,10.09125,12.108757,14.134311,16.176126,18.244491
2.04592,4.084523,6.116496,8.142625,10.062986,12.07604,14.09416,16.123886,18.174793
2.002208,4.003189,6.004632,8.007125,10.010589,12.015274,14.023036,16.038522,18.069881
1.985383,3.969995,5.956157,7.944845,9.935892,11.928825,14.011885,15.924677,17.936745
1.965196,3.929874,5.896995,7.868129,9.84341,11.822143,13.862671,15.790122,17.785061
1.942857,3.885354,5.831037,7.782198,9.739606,11.702799,13.670993,15.644376,17.625522
1.925273,3.842876,5.767685,7.69914,9.632042,11.579457,13.53923,15.497611,17.468575
1.891783,3.795789,5.697783,7.607766,9.52839,11.460735,13.40448,15.358735,17.323325
1.862915,3.756934,5.639725,7.531303,9.435328,11.353976,13.287655,15.235477,17.19637
1.840873,3.688148,5.591898,7.467872,9.357509,11.264112,13.189054,15.131786,17.090698
1.826662,3.657988,5.501694,7.419235,9.296888,11.192952,13.109891,15.047843,17.005083
1.842376,3.684702,5.530638,7.325076,9.252656,11.139172,13.047966,14.980179,16.934484
1.837481,3.674787,5.515003,7.36229,9.221825,11.099102,12.998692,14.922985,16.871605
1.835038,3.669608,5.50617,7.348188,9.200321,11.068074,12.956766,14.870138,16.809274
1.830181,3.665674,5.497614,7.339114,9.184213,11.041912,12.917935,14.817296,16.742874
1.836316,3.666634,5.498756,7.332441,9.170715,11.018077,12.885418,14.763317,16.671935
1.840718,3.666384,5.496734,7.326779,9.158695,10.996164,12.844595,14.710552,16.600374
1.842507,3.666242,5.49504,7.322016,9.148615,10.977663,12.813926,14.66401,16.535338
1.841661,3.675059,5.494068,7.319011,9.142052,10.965207,12.792398,14.629771,16.485144
1.838925,3.671172,5.494698,7.319142,9.141006,10.961614,12.783942,14.617931,16.454705
1.835562,3.666156,5.490347,7.320983,9.144059,10.963803,12.791236,14.617924,16.455677
1.83303,3.673562,5.504911,7.3342,9.161937,10.988535,12.815134,14.644565,16.482029
1.832648,3.66291,5.492859,7.322979,9.151654,11.019739,12.854597,14.691412,16.533816
